Unnamed_ 0,id,X,Y,Population,Elevation,Weight,clusters
"709","1",830335.970899999956600,8526219.438999999314547,"15",611.067016599999988,6.000000000000000,"2"
"758","2",831371.749399999971502,8524256.291000001132488,"0",799.072021500000005,6.000000000000000,"2"
"759","3",831361.887800000025891,8525242.293999999761581,"0",660.143981899999972,6.000000000000000,"2"
"760","4",831352.018099999986589,8526228.294999999925494,"0",654.046997099999999,6.000000000000000,"2"
"761","5",831342.140299999970011,8527214.292000001296401,"16",622.869995099999983,6.000000000000000,"2"
"762","6",831332.254300000029616,8528200.286000000312924,"0",680.754028299999959,6.000000000000000,"2"
"809","7",832387.799200000008568,8524265.125000000000000,"0",811.241027799999983,4.741446634500000,"2"
"810","8",832377.940599999972619,8525251.135999999940395,"0",695.656982399999947,6.000000000000000,"2"
"811","9",832368.073899999959394,8526237.144999999552965,"0",666.979003899999952,6.000000000000000,"2"
"812","10",832358.198899999959394,8527223.151000000536442,"0",688.499023400000056,6.000000000000000,"2"
"813","11",832348.315900000045076,8528209.152999999001622,"0",711.125000000000000,6.000000000000000,"2"
"859","12",833413.704900000011548,8523287.929999999701977,"0",1032.910033999999996,1.000000000000000,"2"
"860","13",833403.857500000041910,8524273.952999999746680,"0",827.879028299999959,6.000000000000000,"2"
"861","14",833394.001900000032037,8525259.973999999463558,"0",728.895996100000048,6.000000000000000,"2"
"862","15",833384.138099999981932,8526245.991000000387430,"0",713.455017099999964,6.000000000000000,"2"
"863","16",833374.266100000008009,8527232.004000000655651,"0",697.786987299999964,6.000000000000000,"2"
"864","17",833364.385999999823980,8528218.015000000596046,"5",704.159973100000116,6.000000000000000,"2"
"865","18",833354.497699999948964,8529204.023000000044703,"0",778.492980999999986,6.000000000000000,"2"
"911","19",834419.924499999964610,8524282.777000000700355,"0",812.481018100000028,6.000000000000000,"2"
"912","20",834410.071899999980815,8525268.805999999865890,"0",785.372009299999945,6.000000000000000,"2"
"913","21",834400.210999999893829,8526254.831000000238419,"0",743.211975100000018,6.000000000000000,"2"
"914","22",834390.341899999999441,8527240.853000000119209,"0",717.632019000000014,6.000000000000000,"2"
"915","23",834380.464700000011362,8528226.872000001370907,"0",731.361022899999966,6.000000000000000,"2"
"962","24",835436.000000000000000,8524291.596000000834465,"0",872.825988800000005,4.172046589500000,"2"
"963","25",835426.150400000042282,8525277.632000001147389,"0",801.273986799999989,6.000000000000000,"2"
"964","26",835416.292499999981374,8526263.666000001132488,"6",734.757995600000186,6.000000000000000,"2"
"965","27",835406.426300000050105,8527249.697000000625849,"0",713.817993200000046,6.000000000000000,"2"
"966","28",835396.552000000025146,8528235.723999999463558,"6",735.382995600000186,6.000000000000000,"2"
"1015","29",836432.382600000011735,8526272.495999999344349,"3",779.367980999999986,6.000000000000000,"2"
