ID,X,Y,Population,Elevation,Weight,clusters,id
"4352",211972.117399999988265,8527612.882999999448657,"2",415.759002699999996,3.240795288146238,"9","1"
"4353",212079.966699999989942,8528943.857999999076128,"0",392.740997300000004,4.766238595890526,"9","2"
"4354",212086.277899999986403,8529971.024000000208616,"0",384.544006300000035,6.018459987442312,"9","3"
"4406",213178.058000000019092,8522629.525000000372529,"11",467.994995100000040,7.037597828914055,"9","4"
"4407",213144.460200000001350,8523473.016000000759959,"9",456.089996300000053,7.087139402442556,"9","5"
"4408",212950.875000000000000,8524457.245999999344349,"6",441.585998500000017,9.029452392124741,"9","6"
"4409",212849.879400000005262,8525421.162999998778105,"2",438.454009999999982,7.019193517715950,"9","7"
"4410",212851.058300000004238,8526398.554999999701977,"8",427.855987500000026,7.036654777382846,"9","8"
"4411",212697.264399999985471,8527377.587999999523163,"5",481.071014399999967,4.663527138014085,"9","9"
"4412",212654.100700000009965,8528353.754000000655651,"5",409.779998799999987,1.000000000000000,"9","10"
"4413",212639.071100000001024,8529332.053999999538064,"0",393.601989699999990,1.000000000000000,"9","11"
"4414",212613.686799999995856,8530310.875000000000000,"0",387.304992699999957,4.143256679239197,"9","12"
"4415",212910.339799999987008,8530893.173000000417233,"0",379.425994899999978,4.665665908843353,"9","13"
"4468",214373.257899999996880,8518097.595000000670552,"0",937.557983399999898,6.452718292025887,"9","14"
"4469",214410.820700000011129,8520999.614000000059605,"0",508.609985399999914,9.101018938535070,"9","15"
"4470",214087.742800000007264,8521612.542999999597669,"0",530.864990199999966,9.213449351491141,"9","16"
"4471",213880.468599999992875,8522486.221000000834465,"0",598.138000499999976,9.268499506973303,"9","17"
"4472",213837.098700000002282,8523461.216000000014901,"0",580.619995099999983,7.403041419429342,"9","18"
"4473",213803.527299999987008,8524446.365000000223517,"0",460.278991699999949,9.033017016907262,"9","19"
"4474",213769.962599999998929,8525431.510999999940395,"4",448.097991899999954,7.044432742567331,"9","20"
"4475",213736.404700000013690,8526416.654999999329448,"8",434.957000700000037,7.050560067610809,"9","21"
"4476",213702.853600000002189,8527401.796000000089407,"0",429.864990199999966,7.061156622119430,"9","22"
"4477",213669.309199999988778,8528386.934000000357628,"0",398.634002699999996,7.022895336189314,"9","23"
"4478",213635.771600000007311,8529372.070000000298023,"0",408.878997800000036,6.345531379770822,"9","24"
"4479",213602.240699999994831,8530357.203999999910593,"0",413.921997100000056,3.860159162581532,"9","25"
"4480",213638.761700000002747,8531293.422000000253320,"12",391.213012699999979,3.050111653454765,"9","26"
"4533",215245.665899999992689,8518355.269999999552965,"0",935.333984400000077,1.000000000000000,"9","27"

