,Unnamed_ 0,id,X,Y,Population,Elevation,Weight,clusters
11,1699,12,850949.2244999999,8496809.263,6,916.4140015,6.0,4
24,1750,25,851965.3482,8496817.756,13,855.0349731000001,6.0,4
30,1788,31,853114.3504999998,8483017.893,1,829.0900269,6.0,4
31,1789,32,853104.9165,8484004.229999999,2,711.7319946,6.0,4
32,1790,33,853095.4738,8484990.563,14,831.1530151000002,6.0,4
34,1792,35,853076.5623,8486963.217,3,886.0280151000002,6.0,4
49,1840,50,854130.4386,8483026.251000002,4,730.6829834,6.0,4
51,1842,52,854111.5699,8484998.939,3,778.9110107000001,6.0,4
53,1844,54,854092.6662,8486971.61,2,928.7369995,6.0,4
54,1845,55,854083.2012,8487957.94,3,936.2689819,5.809093231,4
58,1850,59,854035.7450999997,8492889.525999999,1,942.7089844,6.0,4
69,1892,70,855146.5357999998,8483034.603,9,738.5020142000003,6.0,4
70,1893,71,855137.1099,8484020.957999999,3,790.8690186000001,6.0,4
71,1894,72,855127.6752,8485007.309,6,691.8120117000002,6.0,4
72,1895,73,855118.2316,8485993.655,6,685.2940062999999,6.0,4
82,1905,83,855023.3138999998,8495856.895999998,6,947.7139893,6.0,4
90,1944,91,856162.6422,8483042.949,18,656.6309813999999,6.0,4
91,1945,92,856153.2203000002,8484029.313,7,667.9609985000002,6.0,4
102,1956,103,856048.9978999997,8494879.042000001,9,934.9219971000001,6.0,4
103,1957,104,856039.4704,8495865.356999999,2,887.6129760999999,6.0,4
104,1958,105,856029.9340999997,8496851.668,10,916.0159912,3.02873476,4
110,1995,111,857188.1668999998,8482064.912,18,620.7969971,6.0,4
111,1996,112,857178.7578,8483051.289,6,716.9229736000002,6.0,4
112,1997,113,857169.3399,8484037.662,14,634.8779907000002,6.0,4
113,1998,114,857159.9131,8485024.029999997,8,719.1119995,6.0,4
119,2004,120,857103.167,8490942.152999999,2,1007.190002,1.0,4
123,2008,124,857065.1598999997,8494887.488,19,916.2020264,6.0,4
129,2045,130,858223.0712999998,8480100.453,4,624.8699951,6.0,4
130,2046,131,858213.6839999999,8481086.847,15,621.8120117000002,6.0,4
131,2047,132,858204.2877,8482073.237,9,711.0050049,6.0,4
132,2048,133,858194.8826,8483059.623,5,695.0280151000002,6.0,4
135,2051,136,858166.6141999998,8486018.754,9,784.6240234,6.0,4
138,2054,139,858138.2661,8488977.849,3,885.8099975999999,6.0,4
142,2058,143,858100.3447999998,8492923.251000002,12,968.7839966,2.395610553,4
143,2059,144,858090.8423,8493909.591,16,934.7420044,1.0,4
144,2060,145,858081.3310999998,8494895.928,5,942.7189941,5.4969228425,4
150,2097,151,859239.1931999999,8480108.754,1,594.6640014999998,6.0,4
151,2098,152,859229.8099,8481095.157,3,627.4879761,6.0,4
152,2099,153,859220.4176999999,8482081.556,6,616.9639892999999,6.0,4
161,2108,162,859135.4884999999,8490958.956,26,991.1500244,4.306583991,4
171,2150,172,860245.9451999998,8481103.461000001,1,685.2609863,6.0,4
175,2154,176,860208.3392,8485049.066,3,943.3859863,6.0,4
181,2160,182,860151.6631,8490967.349,8,1046.920044,4.0427801435,4
194,2205,195,861233.9107,8484070.995,8,831.0260009999998,6.0,4
196,2207,197,861215.0799999998,8486043.798,3,775.4110107000001,6.0,4
198,2209,199,861196.2136000001,8488016.585,5,897.0440062999999,6.0,4
214,2255,215,862268.8634999997,8482106.474,6,564.1619873,6.0,4
219,2260,220,862221.829,8487038.539,3,671.1610107000001,6.0,4
235,2306,236,863294.4068,8481128.334,9,542.5859985000002,6.0,4
236,2307,237,863285.0308,8482114.767999997,3,548.5369873,6.0,4
238,2309,239,863266.2519,8484087.623999998,4,660.1229857999998,6.0,4
256,2357,257,864319.9423000001,8480150.165,4,566.7589722,3.4716873214999997,4
258,2359,259,864301.2073999998,8482123.056,9,585.2459717,2.499593245,4
267,2373,268,864169.0551,8495932.830000002,38,1031.050049,1.0,4
281,2425,282,865185.2952000002,8495941.237999998,85,1026.599976,1.0,4
282,2426,283,865175.792,8496927.63,144,1053.23999,1.6338424219999998,4
