X,Y,Weight,Population
212324.6692,8540134.667999998,7.032716978843599,10.0
215565.6228,8532393.75,7.06936943085312,0.0
214818.7144,8524479.567000002,9.062752453023196,2.0
222437.6623,8539520.98,7.101834467135142,0.0
226498.3243,8539653.143,7.030486676817354,0.0
226598.6267,8536698.066,7.140896124103472,0.0
233871.63900000002,8532004.338999998,7.025365725547634,0.0
239995.42739999996,8531217.548999999,7.019435037262893,0.0
239080.7397,8528229.621,7.0291431165009435,0.0
239214.6277,8524289.709,1.0,18.0
243274.6485,8524421.934,7.134496112105553,0.0
243408.5764,8520482.080999998,3.4034809454529715,0.0
242661.77059999996,8512569.117,7.260963900810022,0.0
242930.3324,8504689.039,,8.0
245002.4123,8524501.058,7.089119931596582,21.0
246587.4615,8516641.441,6.67953039356849,9.0
246721.5363,8512701.573,7.178559434108348,0.0
246855.7061,8508761.657,3.5881634126703976,2.0
246989.9708,8504821.693,7.2066538676349605,3.0
250593.072,8515726.622000003,7.054115627319187,8.0
250781.20220000003,8512833.932000002,3.12638146195796,12.0
250915.30940000003,8508894.113999998,7.035231429830045,0.0
251083.07459999996,8503969.273,5.150493600477595,0.0
